signal_date,asset,beta_mkt,beta_smb,beta_hml,beta_mom,beta_se,beta_t,idio_vol,nobs,recent_vol,defensive_score,equal_weight,strategy_weight
2026-02-27,LG에너지솔루션,0.5243156913279187,-1.1815256976143347,-0.6709182417197485,-1.3185773896219741,0.1292980709094084,4.055092915464114,0.33826213651180687,252,0.4771660466947094,0.715,0.020833333333333332,0.019035478890429492
2026-02-27,기아,0.5743751565697295,-0.5990529303799931,0.8137461294559458,-0.43944834086724954,0.11838150371976215,4.851899481944539,0.3097028446757232,252,0.5280375569893678,0.9137500000000001,0.020833333333333332,0.015882216009978845
2026-02-27,KB금융,0.7117884450669907,0.13853532187910902,0.8261156222117225,-0.11410577514937904,0.10979901627982014,6.4826486537275985,0.28724983731372955,252,0.33545720065811435,0.8304166666666666,0.020833333333333332,0.015408840155454911
2026-02-27,현대모비스,0.603878355596517,-0.44847252102500157,0.8234422853428204,-0.39679231947576665,0.1343169823346586,4.495919615673905,0.3513923223663053,252,0.5857223588142094,0.895,0.020833333333333332,0.012843287553502161
2026-02-27,신한지주,0.7608541013702422,0.2867981054278325,0.7781083557611721,-0.08425415633388537,0.09532458705697772,7.981719353428325,0.2493826725581311,252,0.3363011093351676,0.7829166666666667,0.020833333333333332,0.014262195552123548
2026-02-27,하나금융지주,0.8320407560345799,0.41857039276631514,0.9061522223658414,-0.24342235938253787,0.09594010574293502,8.67250196975993,0.25099295695224816,252,0.30647894772787754,0.73625,0.020833333333333332,0.012518201187906194
2026-02-27,POSCO홀딩스,0.6767603675234044,-0.48214466184982574,0.19770634676779225,-1.086321253469103,0.11702619938283397,5.78298168352441,0.30615717583930074,252,0.4693256548556941,0.7858333333333334,0.020833333333333332,0.013448383015920714
2026-02-27,LG화학,0.7214710957583665,-1.0926843520194833,-0.07451893488137469,-1.445826754154563,0.14236944203637236,5.0675979721410025,0.3724587018081561,252,0.5759277447570386,0.7345833333333334,0.020833333333333332,0.010416666666666664
2026-02-27,HD현대,0.9193878144627639,-0.13596487595121368,0.6335207012624062,0.17695855550008174,0.15772568527490577,5.8290304008527825,0.41263281740111607,252,0.49633353258672586,0.7345833333333333,0.020833333333333332,0.010416666666666664
2026-02-27,메리츠금융지주,0.548354039023972,0.2584533071826502,0.5393336643212041,-0.2566966208193162,0.11823182745684438,4.637956215504881,0.30931127029163874,252,0.3621622597674561,0.8216666666666667,0.020833333333333332,0.022653814556832807
