realized_date,signal_date,Point-in-time Equal Weight,Beta Risk Budget,KOSPI200,RF
2021-04-30,2021-03-31,0.06347226134204287,0.0619478135415219,0.017636854279105663,0.000641494932781983
2021-05-31,2021-04-30,0.04850320385332085,0.054394120613799224,0.01314044890614574,0.0005126683500473739
2021-06-30,2021-05-31,0.010427143413370477,0.004725060497406286,0.025542754317495975,0.0005772232512462061
2021-07-30,2021-06-30,-0.01290668988356325,-0.006690174729561904,-0.03402151125695019,0.0006040413083812091
2021-08-31,2021-07-30,-0.0009741746741052104,-0.004903013514629517,-0.009719044136727084,0.0006354469207838775
2021-09-30,2021-08-31,-0.007430153172606757,-0.0014838915463016855,-0.0440458324400298,0.0007359468060537111
2021-10-29,2021-09-30,-0.014136485927597642,-0.014017184583903886,-0.03197109394468001,0.0008071029608220925
2021-11-30,2021-10-29,-0.08486652910958159,-0.08373719594818252,-0.03920508662187516,0.0010144361373225497
2021-12-30,2021-11-30,0.046756865912074064,0.03622304994139558,0.05613010395455964,0.0011035325863206769
2022-01-28,2021-12-30,-0.04744611900890272,-0.037498324032603225,-0.09185925568888098,0.0010996786045665008
2022-02-28,2022-01-28,0.013624250526419468,0.009764968616847947,0.009944689647465976,0.0010640380081832213
2022-03-31,2022-02-28,0.04309738508647354,0.041391488167946244,0.011257398904685356,0.0012438362816447057
2022-04-29,2022-03-31,0.007529054039180583,0.00798290029722204,-0.02880118158693734,0.0013482462546359208
2022-05-31,2022-04-29,0.001147905373196867,-0.0017000270202004453,-0.0015207840486650692,0.0014631330386167818
2022-06-30,2022-05-31,-0.09541788459277467,-0.08971943777611036,-0.13352513115586417,0.0015619591878051065
2022-07-29,2022-06-30,0.00201108590039345,0.005341196356622779,0.0524414062499996,0.0019834793139767992
2022-08-31,2022-07-29,0.021018692382153148,0.011011666580315715,-0.0010825523491387878,0.002404834949364165
2022-09-30,2022-08-31,-0.06874168704379724,-0.052383991787898765,-0.12880852117909336,0.002359468103639184
2022-10-31,2022-09-30,0.026365244338365512,0.02204141883703814,0.06475689508103488,0.002737859342050619
2022-11-30,2022-10-31,0.06686354063758637,0.06550331804030618,0.07150010014019648,0.003423004517955519
2022-12-29,2022-11-30,-0.055371847163844246,-0.05477828742198232,-0.09314641744548258,0.003292111725503144
2023-01-31,2022-12-29,0.04338608461779958,0.039683612885041075,0.08986602542081679,0.0029650727573184987
2023-02-28,2023-01-31,-0.014164472483127355,-0.01310603851328751,-0.0077538927062980045,0.0027486017120477158
2023-03-31,2023-02-28,-0.02902312944995633,-0.02517472091130113,0.022966963151207276,0.0030985261725176017
2023-04-28,2023-03-31,0.012562675163918291,0.012532296467550275,0.013756482315312235,0.0027324536268480415
2023-05-31,2023-04-28,-0.001978452946022946,-0.004110511947834294,0.0387796360963053,0.0028446327748319344
2023-06-30,2023-05-31,-0.010155074631075123,-0.016354935550742855,-0.003450106157112609,0.0030736926209604665
2023-07-31,2023-06-30,-0.007759594537606884,-0.012568169452609967,0.02269566503920717,0.003070239649935136
2023-08-31,2023-07-31,0.032463843092466194,0.0348602710870447,-0.031450726231120774,0.003178405067992829
2023-09-27,2023-08-31,0.014218422021262223,0.018054238282456003,-0.0240179238237489,0.0027890909412453535
2023-10-31,2023-09-27,-0.025695687047979088,-0.0188842512407007,-0.06473631048942519,0.0028316578697316075
2023-11-30,2023-10-31,0.054184350651470314,0.04757410310637211,0.10757298075664323,0.003288898848647026
2023-12-28,2023-11-30,0.022824468137365495,0.012203984104300236,0.057796294654729685,0.0028412398275441397
2024-01-31,2023-12-28,0.02411748269914238,0.021684498021449006,-0.06075588703595103,0.003208329633028084
2024-02-29,2024-01-31,0.06625645564121552,0.06024518291937153,0.057488698548655126,0.00273232220932762
2024-03-29,2024-02-29,-0.009867855273551718,-0.007642029465480316,0.05360407233456144,0.002852332394031265
2024-04-30,2024-03-29,0.007127401624768215,0.012138298039783724,-0.025358353575527404,0.002931243780594839
2024-05-31,2024-04-30,0.007118374702738128,0.008366925152371252,-0.018952154027332413,0.002807401560366296
2024-06-28,2024-05-31,0.04235090624141358,0.02945709390642315,0.07205270651293927,0.002670512870100783
2024-07-31,2024-06-28,0.01276224441219509,0.015582268563094193,-0.009192229571376886,0.003180889934669029
2024-08-30,2024-07-31,-0.0050996737985444796,0.007798283572600484,-0.049777917947909534,0.0028685901198601815
2024-09-30,2024-08-30,-0.00524882167858487,-0.0017994879065331704,-0.046438943437975166,0.002474485570246321
