,Point-in-time Equal Weight,Beta Risk Budget,KOSPI200
CAGR,0.15324230161583885,0.1400743234499131,0.14391206159784797
Annualized Vol,0.16163855824857798,0.14565000758062424,0.2692562363938479
Sharpe (excess RF),0.8043423347296357,0.7967546754514752,0.5310051683012744
Max Drawdown,-0.1906904706310525,-0.17495960093707275,-0.3588551636131634
Positive Month Ratio,0.6333333333333333,0.65,0.5
Total Return,1.0398715501442157,0.9260423109747435,0.9586786815728485
Months,60.0,60.0,60.0
Average Signal Beta,0.7168754154599957,0.6499381805423687,
Average Target Turnover,0.13199729044160038,0.1560643386452038,
