signal_date,realized_date,policy_source,selected_count,beta_penalty,uncertainty_penalty,volatility_penalty,tilt_strength,equal_signal_beta,strategy_signal_beta,equal_target_turnover,strategy_target_turnover,equal_max_weight,strategy_max_weight,market_return_63d,market_vol_63d,rationale
2021-03-31,2021-04-30,deterministic,48,1.5488931903892595,0.5,0.8659287935928397,1.0061501555149879,0.8244303775599832,0.7657918977534592,,,0.020833333333333332,0.036458333333333336,0.09457249854950289,0.2517343656934223,Deterministic point-in-time volatility rule
2021-04-30,2021-05-31,deterministic,48,1.2955000816291267,0.5,0.6970000544194178,0.8879000380935924,0.8041202715106474,0.7370116509639861,0.24999999999999997,0.2380728141014139,0.020833333333333332,0.036458333333333336,0.014313160422670279,0.1909200195909904,Deterministic point-in-time volatility rule
2021-05-31,2021-06-30,deterministic,48,1.063690364470922,0.5,0.5424602429806146,0.7797221700864302,0.7898888912961521,0.727783911701173,0.12499999999999999,0.13114958295281337,0.020833333333333332,0.036458333333333336,0.04391207826108201,0.13528568747302125,Deterministic point-in-time volatility rule
2021-06-30,2021-07-30,deterministic,48,1.0,0.5,0.5,0.75,0.7320784389339157,0.6730159909763845,0.125,0.14899943538521318,0.020833333333333332,0.03645833333333333,0.05734387047031575,0.11434765961159586,Deterministic point-in-time volatility rule
2021-07-30,2021-08-31,deterministic,48,1.0,0.5,0.5,0.75,0.7334074926994966,0.6748724595991689,0.125,0.16219944986617776,0.020833333333333332,0.03645833333333333,0.003669855099914132,0.11566203948081671,Deterministic point-in-time volatility rule
2021-08-31,2021-09-30,deterministic,48,1.0358301139641435,0.5,0.5238867426427624,0.7667207198499336,0.7290400181841329,0.6710954902653191,0.24999999999999997,0.25366946688250835,0.020833333333333332,0.03645833333333333,-0.024084621643612025,0.12859922735139445,Deterministic point-in-time volatility rule
2021-09-30,2021-10-29,deterministic,49,1.0636566195594865,0.5,0.542437746372991,0.7797064224610937,0.7261438061462099,0.6629728028413864,0.1428571428571429,0.14674194082922085,0.02040816326530612,0.035714285714285705,-0.08282671298624134,0.13527758869427675,Deterministic point-in-time volatility rule
2021-10-29,2021-11-30,deterministic,48,1.13839182229332,0.5,0.5922612148622134,0.8145828504035494,0.7161627093802431,0.6594686415301051,0.20408163265306123,0.17089360358250058,0.020833333333333332,0.03645833333333333,-0.09123447259456818,0.15321403735039682,Deterministic point-in-time volatility rule
2021-11-30,2021-12-30,deterministic,48,1.1564942150258122,0.5,0.6043294766838748,0.8230306336787124,0.7134922136471605,0.6637332566703341,0.16666666666666666,0.16784159817323024,0.020833333333333332,0.03645833333333333,-0.09050148642721356,0.15755861160619494,Deterministic point-in-time volatility rule
2021-12-30,2022-01-28,deterministic,48,1.1915105591151538,0.5,0.6276737060767691,0.8393715942537384,0.7234057242635358,0.6759921314101343,0.08333333333333333,0.11091904659783365,0.020833333333333332,0.036458333333333336,-0.017717418390231887,0.16596253418763687,Deterministic point-in-time volatility rule
2022-01-28,2022-02-28,deterministic,48,1.2674765318497727,0.5,0.6783176878998485,0.8748223815298939,0.7688052299457641,0.7163701246166987,0.31250000000000006,0.2724235109020051,0.020833333333333332,0.036458333333333336,-0.08165516533695838,0.18419436764394545,Deterministic point-in-time volatility rule
2022-02-28,2022-03-31,deterministic,48,1.3044228914258664,0.5,0.7029485942839109,0.8920640159987376,0.7911504007043216,0.7271550688862058,0.2083333333333333,0.18842764764846012,0.020833333333333332,0.036458333333333336,-0.0775393565177458,0.19306149394220792,Deterministic point-in-time volatility rule
2022-03-31,2022-04-29,deterministic,48,1.3049923181392962,0.5,0.703328212092864,0.8923297484650048,0.7581394922254724,0.70056863979759,0.14583333333333331,0.14331464669770705,0.020833333333333332,0.03645833333333333,-0.08718448056325401,0.19319815635343104,Deterministic point-in-time volatility rule
2022-04-29,2022-05-31,deterministic,48,1.2993881813000017,0.5,0.6995921208666678,0.8897144846066675,0.7495140958312949,0.6931894759781267,0.125,0.13058130143853555,0.020833333333333332,0.036458333333333336,-0.020171638290240712,0.1918531635120004,Deterministic point-in-time volatility rule
2022-05-31,2022-06-30,deterministic,48,1.212752570198863,0.5,0.641835046799242,0.8492845327594694,0.7412860693345457,0.6788491297138932,0.14583333333333331,0.1536820031375344,0.020833333333333332,0.03645833333333333,-0.01936161973778905,0.1710606168477271,Deterministic point-in-time volatility rule
2022-06-30,2022-07-29,deterministic,48,1.2918815537876138,0.5,0.694587702525076,0.8862113917675531,0.7304244297716506,0.6766599194716233,0.14583333333333331,0.17027045579261002,0.020833333333333332,0.03645833333333333,-0.15720164609053588,0.19005157290902733,Deterministic point-in-time volatility rule
2022-07-29,2022-08-31,deterministic,48,1.331065890367447,0.5,0.720710593578298,0.9044974155048087,0.7401373873723331,0.6800265956141393,0.08333333333333333,0.10904834117722496,0.020833333333333332,0.036458333333333336,-0.076679232350926,0.1994558136881873,Deterministic point-in-time volatility rule
2022-08-31,2022-09-30,deterministic,48,1.2972514292233621,0.5,0.6981676194822414,0.8887173336375689,0.7385776669276654,0.6800499204947451,0.0625,0.07352411584211604,0.020833333333333332,0.036458333333333336,-0.08907316522818332,0.1913403430136069,Deterministic point-in-time volatility rule
2022-09-30,2022-10-31,deterministic,48,1.2590430603046878,0.5,0.6726953735364585,0.8708867614755209,0.7469256031168231,0.690505633719222,0.10416666666666666,0.12765392061097716,0.020833333333333332,0.036458333333333336,-0.08411458333333399,0.18217033447312506,Deterministic point-in-time volatility rule
2022-10-31,2022-11-30,deterministic,48,1.2959083618779093,0.5,0.6972722412519395,0.8880905688763576,0.7547632049539303,0.6910945728912948,0.125,0.14959026334156494,0.020833333333333332,0.03645833333333333,-0.0630512291236629,0.19101800685069822,Deterministic point-in-time volatility rule
2022-11-30,2022-12-29,deterministic,48,1.3751147601957046,0.5,0.7500765067971364,0.9250535547579954,0.7841641204215942,0.7252676241306603,0.125,0.1898374384767447,0.020833333333333332,0.036458333333333336,0.014698909435750585,0.2100275424469691,Deterministic point-in-time volatility rule
2022-12-29,2023-01-31,deterministic,49,1.320041459508935,0.5,0.7133609730059566,0.8993526811041697,0.8232525178592393,0.763302136920609,0.12244897959183676,0.16170459286571723,0.02040816326530612,0.03571428571428571,0.029895630638599346,0.19680995028214437,Deterministic point-in-time volatility rule
2023-01-31,2023-02-28,deterministic,48,1.3063926816764115,0.5,0.7042617877842743,0.892983251448992,0.7876313201606546,0.7300980295760671,0.10204081632653064,0.14607780037389206,0.020833333333333332,0.03645833333333333,0.05901595567127327,0.19353424360233876,Deterministic point-in-time volatility rule
2023-02-28,2023-03-31,deterministic,48,1.2780767650731182,0.5,0.6853845100487455,0.8797691570341218,0.7893715418926786,0.7215373700483689,0.10416666666666666,0.14582911057121228,0.020833333333333332,0.03645833333333333,0.00829569840812261,0.18673842361754836,Deterministic point-in-time volatility rule
2023-03-31,2023-04-28,deterministic,48,1.2362589019056642,0.5,0.657505934603776,0.8602541542226433,0.7530394620453763,0.6891349380676418,0.08333333333333333,0.11629097819071996,0.020833333333333332,0.03645833333333333,0.08394762529873034,0.17670213645735938,Deterministic point-in-time volatility rule
