Date,Defensive Only,EGARCH-X Cash Filter (q=0.90),"AND Cash Filter (q=0.85, ms>=0.7)",Benchmark
2001-02-28,-0.07025983914525702,-0.07025983914525702,-0.07025983914525702,-0.07489099769171581
2001-03-30,0.043163870534201676,0.043163870534201676,0.043163870534201676,-0.09675630718048245
2001-04-30,0.1535256761268089,0.1535256761268089,0.1535256761268089,0.11187845303867405
2001-05-31,0.03413369333392091,0.03413369333392091,0.03413369333392091,0.05024154589371976
2001-06-29,-0.10165187353204153,-0.10165187353204153,-0.10165187353204153,-0.03798133788934155
2001-07-31,0.010108027722402158,0.010108027722402158,0.010108027722402158,-0.08497267759562843
2001-08-31,-0.004730604680788897,-0.004730604680788897,-0.004730604680788897,0.006569125111973717
2001-09-28,0.09282703301608031,0.09282703301608031,0.09282703301608031,-0.12622367250074173
2001-10-31,0.18989303812247416,0.18989303812247416,0.18989303812247416,0.12782210151077922
2001-11-30,0.06350292963112203,0.06350292963112203,0.06350292963112203,0.20454545454545459
2001-12-28,0.13653014579415057,0.13653014579415057,0.13653014579415057,0.08671748094464582
2002-01-31,0.11853923625358131,0.11853923625358131,0.11853923625358131,0.06921927101299286
2002-02-28,0.14835819517526105,0.14835819517526105,0.14835819517526105,0.10355952252930423
2002-03-29,-0.1318328812451619,-0.1318328812451619,-0.1318328812451619,0.08984603391151813
2002-04-30,-0.0689727287709585,-0.0689727287709585,-0.0689727287709585,-0.048730329041487885
2002-05-31,-0.05497270336589277,-0.05497270336589277,-0.05497270336589277,-0.0525425321928753
2002-06-28,-0.01502479798583578,-0.01502479798583578,-0.01502479798583578,-0.07053571428571426
2002-07-31,0.035259631245064815,0.035259631245064815,0.035259631245064815,-0.03767744689934893
2002-08-30,-0.1094974380843643,-0.1094974380843643,-0.1094974380843643,0.0265084294587401
2002-09-30,0.00688823030227792,0.00688823030227792,0.00688823030227792,-0.1207995678011885
2002-10-31,0.06337571835360412,0.06337571835360412,0.06337571835360412,0.021260906968169957
2002-11-29,-0.10358880712093832,-0.10358880712093832,-0.10358880712093832,0.10770156438026479
2002-12-30,-0.06067074354887414,-0.06067074354887414,-0.06067074354887414,-0.13231939163498097
2003-01-30,0.00395021746202473,0.00395021746202473,0.00395021746202473,-0.058219606861149464
2003-02-28,-0.03804811967860333,-0.03804811967860333,-0.03804811967860333,-0.0315075777718693
2003-03-31,0.13914910350248277,0.13914910350248277,0.13914910350248277,-0.06588881262868906
2003-04-30,0.08914480135703662,0.08914480135703662,0.08914480135703662,0.12343864805290239
2003-05-30,0.009246905043801101,0.009246905043801101,0.009246905043801101,0.05336821451929352
2003-06-30,-0.006048603274204978,-0.006048603274204978,-0.006048603274204978,0.061343598658884835
2003-07-31,0.05018487945252703,0.05018487945252703,0.05018487945252703,0.07078507078507079
2003-08-29,-0.04549427813199358,-0.04549427813199358,-0.04549427813199358,0.06632430069930084
2003-09-30,0.04973536299272774,0.04973536299272774,0.04973536299272774,-0.0823854903166309
2003-10-31,0.045766734975137835,0.045766734975137835,0.045766734975137835,0.13277498604131766
