,EGARCH-X AND MS,EGARCH-X OR MS,Weighted Combo
"corr(pred, realized)",0.6509569750050207,0.6509569750050207,0.4172230714639754
regime_hit_rate,0.7355072463768116,0.6340579710144928,0.7086614173228346
avg_realized_vol_when_pred_high,7.308687560272443,6.152916704340649,6.206561358000854
avg_realized_vol_when_pred_low,4.846715129906953,4.54301747309373,4.589811302701963
avg_next_ret_when_pred_high_vol,0.003983624395805851,0.013357058356903062,0.007984037916801351
avg_next_ret_when_pred_low_vol,0.012132177235019073,0.008408425613537766,0.010190855901850123
