,Defensive Only,EGARCH-X Cash Filter (q=0.90),"AND Cash Filter (q=0.85, ms>=0.7)",Benchmark
CAGR,0.1362073914592179,0.12831354532091277,0.13782062775537263,0.10402524079825204
Annualized Vol,0.19198730010556916,0.17579261836055174,0.17544948171646352,0.21579563621853207
Sharpe,0.7633220514705842,0.7760012832418081,0.8255543582655074,0.5663152064582037
Max Drawdown,-0.41694084609979865,-0.39608128621955585,-0.39608128621955585,-0.4698179863297751
Hit Rate,0.5913621262458472,0.53156146179402,0.5548172757475083,0.5780730897009967
Total Return,23.607172998175123,19.659233121986023,24.49869120451658,10.96896640164145
